Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Santa Bárbara do Pará (PA),"26,4","48,9","3,2","68,77","42,4","921,01","130,44","174,9","11,59","44,64","10,43","5,08","0,77","10,06","7,26","33,91","70,37","72,58","99,62","1,84",0,100,20492
Santa Bárbara do Sul (RS),"14,5","28,2","4,7",100,"64,7","1483,4","67,6","175,59","10,53",80,"9,47","7,71","4,03","34,39","8,16",29,"54,17","4,29",100,,,100,8694
Santa Bárbara do Tugúrio (MG),"11,5","42,4","4,5","82,87","56,7","958,51","92,49","65,25","31,25","78,13","21,88","8,06","2,56","22,35","6,17","26,26","58,63","15,67","93,63",,,,4590
Santa Bárbara (MG),"8,7","24,6","4,7","99,07","64,8","1441,81","132,52","98,23","14,49","79,47","10,87","5,8","0,59","23,74","6,35","52,19","65,12","48,96","81,16","98,91",0,100,30690
Santa Branca (SP),"17,5","19,8","4,6","75,24","68,5","960,24","72,42","136,68","48,78","68,9","8,54","8,39",0,"14,53","8,03","22,18","60,15","20,63","71,81","65,17","5,91",100,14667
Santa Brígida (BA),"37,4","59,1","3,8","70,67","40,2","850,18","276,95","150,76","10,81","57,84","8,65","4,47","4,67","24,21","20,1","64,38","80,31","32,9",100,"92,31",100,100,14976
Santa Carmem (MT),"14,6","24,9","4,8",100,"65,4","1366,92","74,6","143,51","12,2","90,24","4,88","6,19",0,"14,48","8,77","17,48","49,34","64,61",100,,,"96,78",4360
Santa Cecília do Pavão (PR),"10,9","47,8","4,4","97,18",76,"1128,93","76,39","193,61","15,87","96,83","6,35","7,05","1,69","25,54","12,23","10,68","42,94","10,4",100,"71,69",100,,3544
Santa Cecília do Sul (RS),"26,7",24,"4,2",100,"67,5","1614,72","16,38","13,48",,"85,71","3,57","7,08","2,6","24,46","7,78","1,69","18,61","20,21",100,,,100,1695
Santa Cecília (PB),"34,8","47,4","2,8","85,87","37,1","1093,56","239,41","16,69","10,42","81,25","6,25","6,71","2,46","23,63","20,27","51,66","78,6","76,78",,,,,6557
Santa Cecília (SC),"14,3","33,2","4,5","98,08","56,9","1176,64","62,04","117,97","3,3","72,28","6,6","7,3","0,66","30,03","9,81","22,75","66,65","31,59","97,33",,,"99,99",16701
Santa Clara D'Oeste (SP),"2,1","11,3","5,1",100,"71,6","1217,98","44,37","239,25",0,"80,95","9,52","8,9","1,41","24,12","9,54","9,08","35,83","3,35",100,100,100,100,2134
Santa Clara do Sul (RS),"17,4","21,4","5,1",100,41,"1119,78","9,51","33,05","12,99","92,21","9,09","9,23",0,"7,76","4,37","6,74","9,22","46,23",100,,,100,6285
Santa Cruz Cabrália (BA),"32,5","49,1","3,3","68,84","28,1","975,87","152,55","196,4","11,24","56,85","8,31","5,18","0,9","21,97",14,"25,28","72,86","44,63","86,69","58,21",100,100,28552
Santa Cruz da Baixa Verde (PE),"20,5","21,1","4,7","53,13","33,8","895,71","188,18","79,37","26,46","73,54","6,88","7,04","4,27","21,72","8,42","48,16","73,35","57,19","3,41",,,100,12501
Santa Cruz da Conceição (SP),"14,9","26,2","5,2",87,"74,7","1435,97","48,1","105,03",0,"62,96",,"8,17","2,53","18,33","9,22","19,24","42,98","14,6","98,89","88,84",100,100,4409
Santa Cruz da Esperança (SP),"3,5","15,1","5,8",100,"77,9","1137,11","41,38","61,83",0,"60,87","4,35","7,58","1,12","23,48","2,19","8,88","28,81","23,98",100,100,100,100,2110
Santa Cruz das Palmeiras (SP),"6,4","11,1","4,6","93,66","78,5","1288,37","19,45","70,93","12,69","94,67","4,31","6,19","1,81","20,06","9,56","5,09","43,6","14,12",100,100,0,100,33455
Santa Cruz da Vitória (BA),"35,7","42,9","3,8","98,76","62,5","872,17","166,86","455,21","14,93","59,7","10,45","5,97","0,83","12,04","19,75","55,6","75,62","17,56",100,,,100,6698
Santa Cruz de Goiás (GO),"12,2","35,1","5,2",100,"28,4","905,59","36,14","131,6",0,"77,14","2,86","8,53","7,5","30,73","10,89","7,12","46,81","37,09","99,89",,,,3048
Santa Cruz de Minas (MG),"35,6","40,9","3,8",100,"69,8","896,29","49,05","72,63","9,9","48,51","12,87","7,96","0,21","24,15","5,5","4,02","50,93","6,26",,,,,8547
Santa Cruz de Monte Castelo (PR),"19,3","27,4",,100,76,"1157,24","64,95","145,21","7,09","82,27","9,93","7,15","0,47","19,34","9,9","14,59","46,25","6,1",100,,,100,8113
Santa Cruz de Salinas (MG),"8,7","24,3","3,8","80,35","58,7","828,57","238,71","84,44",0,"85,71",,"6,46","0,87","16,59","9,44","52,69","69,42","28,21","88,11","88,11",100,,4337
Santa Cruz do Arari (PA),"40,4","62,5","2,9","41,55","50,8","966,84","307,44","45,57","22,47","69,66","14,61","3,35","13,46","51,59","7,58",69,"93,62","84,19",,,,,9845
Santa Cruz do Capibaribe (PE),"21,1","28,1","4,4",100,"35,3","1022,57","117,91","187,03","16,86","67,23","7,84","4,44","2,02","13,46","9,24","27,18","76,25","51,85","69,61","98,01",0,100,105761
Santa Cruz do Escalvado (MG),"14,2","42,9","4,2","97,28","70,9","1034,15","106,86","61,71",25,70,"22,5","8,47","0,41","16,04","8,82",22,"57,51","9,68","74,93","98,89","31,58",100,4960
Santa Cruz do Piauí (PI),"26,9",26,"3,6",100,"45,1","880,7","318,88","63,57",0,"85,48","3,23","6,03","1,03","23,3","13,36","37,94","88,04","78,62","98,31",,,100,6140
Santa Cruz do Rio Pardo (SP),"5,3","13,4","5,3","93,26","83,5","1409,24","22,81","119,47","9,04","91,87","9,79","7,44","0,87","26,23","6,93","11,51","39,92","10,29",100,100,100,100,47148
Santa Cruz dos Milagres (PI),"20,5","35,7","4,9","96,46","69,2","1091,51","249,25","29,37","54,05","48,65","18,92","5,57","3,36","14,05","15,43","34,7","68,11","95,46",,,,,3952
Santa Cruz do Sul (RS),19,"29,2","4,7",100,"61,6","1722,87","23,67","60,14","11,11","79,14",10,"7,71","0,66","15,08",5,"17,43","54,54","51,07",100,"15,52","65,96","98,89",127429
Santa Cruz do Xingu (MT),"18,3","47,5","4,3",100,25,"1358,82","83,92","41,48",0,"54,55",,"5,37","1,25","11,86","11,11","3,25","51,91","78,35","78,48",,,100,2421
Santa Cruz (PB),"19,1","29,8","3,9",100,"55,6","1010,61","232,4","66,03","31,75","66,67","6,35","9,11","0,76","21,19","13,15","54,82","64,15","71,2",100,,,100,6585
Santa Cruz (PE),"24,4","24,8",4,"84,56","46,7","1002,65","285,09","98,78",25,"69,58","8,75","5,53","4,55","22,04","10,8","58,3","79,88","67,25",100,"55,5",0,"79,43",15202
Santa Cruz (RN),"22,5","33,4","3,3","90,43","53,2","1061,95","125,48","248,86","10,66","68,38","9,24","5,37","1,67","12,47","14,82","31,27","71,93","46,92","99,97","96,52",100,100,39667
Santa Efigênia de Minas (MG),11,"39,8",4,"90,86","64,9","901,92","285,75","248,67","15,87","74,6","11,11","5,67","2,16","16,67","8,08","56,83","72,77","21,23","82,62",,,100,4587
Santa Ernestina (SP),"1,9","3,7",5,100,"80,5","1358,07","109,5","92,13",0,"87,76","12,24","7,06","2,66","18,15","5,57","42,57","60,65","6,34",100,100,100,"99,98",5662
Santa Fé de Goiás (GO),"10,3","27,2","4,9",100,"49,8","1279,43","43,65","46,67","12,2","75,61","14,63","6,22","3,14","20,63","8,33","7,76","44,41","29,9",100,,,100,5309
Santa Fé de Minas (MG),"12,9","41,9","3,6","94,96","72,3","849,4","318,61","79,98",0,"76,47","7,84","4,77","2,73","22,37","11,27","37,36","88,95","74,04","78,79",,,,3985
Santa Fé do Araguaia (TO),23,"33,3","4,2","78,68","24,8","1085,98","64,14","107,76","9,9","68,32","13,86","4,73","1,49","17,05","12,87","10,56","49,68","40,39","96,51",,,,7402
Santa Fé do Sul (SP),"3,9","6,5","5,9",100,"83,8","1199,91","49,17","180,23","6,9","88,74","6,21","8,46","0,52","17,03","7,34","19,92","59,67","4,46",100,100,100,100,31802
Santa Fé (PR),"10,8","26,7","4,9",100,"73,3","1135,9","20,13","86,44",0,"87,93","10,34","5,65","0,71","18,26","9,42","7,66","32,92","5,35",100,"78,36",100,,11691
Santa Filomena do Maranhão (MA),"26,8","47,4","3,2",0,"16,7","1162,2","227,2","77,24",0,"69,32","5,68","3,37","3,58","17,51","18,19","29,22","81,28","47,93","68,8",,,,7708
Santa Filomena (PE),"23,3","28,9","3,9","76,67","35,5","978,99","300,86","124,46","17,96","77,84","6,59","5,15","3,61","23,9","15,39","47,47","78,44","58,85",100,"98,7",0,100,14355
Santa Filomena (PI),"31,2","38,3","4,3","52,32","34,5","1156,68","293,46","43,96","30,3","52,53","7,07","6,34",0,"13,73","10,35","50,43","82,64","85,63","40,01",,,,6156
Santa Gertrudes (SP),"10,4","14,4","5,7",100,"81,7","1931,03","14,38","80,31","3,16","85,13","7,28","4,8","0,24","5,17","8,05","15,46","43,73","3,61","99,07","99,07","99,8",100,25637
Santa Helena de Goiás (GO),"11,4","23,3","5,1",100,63,"1232,74","37,69","202,97","12,66","73,24","8,5","8,05","4,66","21,05","11,68","17,18","54,61","11,24",100,100,"99,98",100,38743
Santa Helena de Minas (MG),"33,2",37,4,"71,86","40,1","979,36","357,74","122,43","10,64","61,7","6,38","5,62","9,74",50,"21,03","81,91","84,93","20,15","99,3","83,16",100,,6410
Santa Helena (MA),"35,6","48,3","2,8","48,17",8,"1399,45","245,66","222,02","5,5","26,42","6,42","3,17","9,99","32,05","9,5","53,61","91,67","34,39","0,02",,,,41891
Santa Helena (PB),"21,1","32,5","4,9","94,96","33,6","947,84","360,17","94,9","14,08","74,65","8,45","7,47","0,46","31,76","7,65","31,59","85,25","44,7",100,"40,5",0,100,5887
Santa Helena (PR),"12,6","19,6","5,6",100,"68,6","1625,69","13,48","160,12","18,62","80,32","6,38","7,26","4,31",22,"12,75","4,33","25,08","18,08",100,"74,31",100,,25911
Santa Helena (SC),"10,1","12,7","6,1",100,87,1269,"11,91","72,08","35,71","82,14","7,14","7,94","0,42","16,52","13,48","2,89","19,21","31,24","99,64",,,100,2266
Santa Inês (BA),"29,8","27,6",4,"93,86","5,8","954,98","331,34","446,62",0,"55,37","11,57","8,06","12,53","35,79","19,46","69,06","84,42","36,47","87,2","62,12",100,100,11161
Santa Inês (MA),"14,9","28,6","3,6","28,66","29,5","1024,71","122,96","370,62","11,88","35,58","6,25","6,76","6,37","28,25","10,19","35,59","79,09","10,91","52,74",,,100,88013
Santa Inês (PB),23,"28,9","3,5","76,54",76,"902,37","325,01","18,23","46,51","58,14",,"5,01","6,67","25,53","16,13","44,09","78,91","86,75",,,,"68,82",3596
Santa Inês (PR),"6,7","13,4","4,5",100,"72,2","1180,56","54,77","112,13",0,75,,"5,79","1,15","19,75","7,44","18,54","38,82","2,84",100,,,100,1727
Santa Isabel do Ivaí (PR),"16,4","15,5","4,5",100,"74,4","1184,78","21,62","131,23","40,82","81,63","12,24","9,37","4,44","36,87","5,27","3,18","32,04","4,4",100,"92,21",100,"95,8",8858
Santa Isabel do Pará (PA),"29,3","50,7","3,4","92,11","56,6","1138,86","107,81","240,51","13,54","53,96","9,06","5,03","3,07","17,9","7,45","21,58","74,44","56,01",,,,100,68836
Santa Isabel do Rio Negro (AM),"21,1","53,5","4,1","73,05","31,7","916,9","196,85","21,43","21,62","24,32","8,38","2,52","0,44","33,56","16,41","86,42","88,46","98,74",,,,,23765
Santa Isabel (GO),"6,7","15,1",6,100,"35,9","925,04","72,66","59,4",0,"68,57","5,71","5,7",0,"21,93","9,5","13,96","54,69","30,41","99,79",,,,3857
Santa Isabel (SP),"11,3","6,2","5,1","97,22","66,5","1349,29","48,04","157,71","9,75","75,35","9,05","6,37","0,81","17,08","8,79","22,84","66,78","36,51","82,07","60,33","6,88","98,96",56014
Santa Izabel do Oeste (PR),"9,3","27,3","5,4",100,72,"1186,35","30,03","128,35","6,25","94,38",10,"6,11","1,53","26,29","8,4","7,98","35,85","16,8",100,,,100,14411
Santa Juliana (MG),"12,6","24,8",4,100,"48,6","1464,83","39,09","122,28","10,1","75,25","9,6","5,08",3,"30,59","10,01","8,26","65,69","21,37","93,76",100,0,100,13380
Santa Leopoldina (ES),"21,3","29,5","4,6","87,74","62,5","1158,79","75,02","70,69","33,78","60,81","12,84","6,59","5,59","16,73","8,43","32,8","63,65","55,72","90,27",,,100,12889
Santa Lúcia (PR),"12,4","21,9","4,9",100,"71,4","1237,62","43,05","95,79",0,"88,89","8,89","5,31","0,32","17,08","11,44",14,"34,33","14,1",100,,,"99,26",3955
Santa Lúcia (SP),"4,6","11,2","4,8",100,91,"1125,59","27,91","72,22","20,2","86,87","7,07","5,82","0,25","22,4","11,18","9,65","38,48","15,38","99,61","99,61",100,100,8758
Santaluz (BA),"22,4","39,9","3,4","86,56","43,2","1185,82","218,35","205,65","8,15","61,91","6,52","4,81","4,18","33,69","12,3","57,22",80,"19,72",100,,,,38422
Santa Luzia (BA),"48,6","62,8",,"86,4","23,7","921,08","217,43","227,15","29,59","47,34","7,1","7,02","1,07","17,6","28,24","31,55","74,94","72,39","87,22",,,,13398
Santa Luzia D'Oeste (RO),"15,9","19,7","5,5",100,"68,3","1044,25","61,87","118,22","8,93","69,64","7,14",5,"14,7","37,69","13,48","8,9","52,13","22,35","78,97",,,,8198
Santa Luzia do Itanhy (SE),"43,2","69,4","3,2","46,24",52,"1326,74","295,25","85,27","12,77","48,94","5,96","5,34","0,62","21,98","18,01","66,15","83,7","35,62","61,22",,,100,14034
Santa Luzia do Norte (AL),"30,8","36,1","3,6","32,94","43,8","1432,39","183,68","275,77","8,26","50,41","11,57","6,63","2,93","21,6","18,94","32,72","76,02","32,73","75,28",,,,7386
Santa Luzia do Pará (PA),"34,3","45,1","3,1","76,49","40,4","1049,84","294,35","94,27","5,81","32,27","10,76","4,3","3,03","14,17","12,58","44,11","86,05","37,4","20,01",,,,19316
Santa Luzia do Paruá (MA),"26,3","45,6","3,3","86,94","16,8","976,97","311,73","267,37","23,94","42,55","5,85","4,69","1,73","19,37","15,6","79,3","87,02","22,29","51,46",100,0,100,24946
Santa Luzia (MA),"24,7","44,3","3,5","51,33","9,1","1147,21","221,36","140,96","8,67","24,63","6,33","4,97","4,28","25,77","18,13","75,61","88,8","46,05",100,,,"80,22",71576
Santa Luzia (MG),"14,5","30,2","3,9","96,85","74,9","1442,15","70,63","105,22","9,9","67,04","10,95","5,5","0,48","21,64","5,37","42,48","62,29","51,98","80,89","66,76",100,"99,87",218897
Santa Luzia (PB),16,"26,7","3,8","83,09","58,6","947,35","193,07","317,69","5,13","83,08","9,23","7,79","6,56","25,36","11,8","50,31","68,29","51,69","96,84","99,6","72,22",100,15401
Santa Luz (PI),"27,8","49,5","4,5","15,21","22,4","930,39","380,27","50,75",0,72,"9,33","5,03","5,75","34,8","13,6","81,11","85,65","90,07","97,66",,,,5761
Santa Margarida do Sul (RS),"31,8","30,6","4,4",100,"64,9","1223,53","83,22",0,0,"58,82","11,76","6,75","0,67","29,73","10,89","22,46","59,86","51,78","92,72",,,100,2519
Santa Margarida (MG),"16,5","23,4","4,2","84,11","63,7","961,87","150,7","87,83","13,39","86,61","7,14","5,32","0,6","14,41","5,84","6,14","72,69","19,5","95,34",,,,16173
Santa Maria da Boa Vista (PE),"27,2","40,9","3,6","56,55","41,7","1173,13","347,49","142,72","8,76","79,42","5,55","4,63","3,71","20,72","10,31","44,11","84,93","73,99",100,,,,41652
Santa Maria das Barreiras (PA),"30,6","53,1","2,8","75,58","33,1","1130,15","148,97","34,12","27,97","39,86","9,79","3,45","7,33","33,07","11,15","16,91","75,99","43,12","22,25",,,100,20849
Santa Maria da Serra (SP),"11,6","10,3","5,1","43,3","71,3","1196,29","74,31","94,29",0,"84,29",10,"6,31","0,3","11,11","10,69","11,14","40,89","18,21","93,12","89,9",100,"95,93",6021
Santa Maria da Vitória (BA),"28,9",43,"3,6","76,97","33,9","1112,92","168,73","249,06","16,63","66,53","6,24","5,79","0,92","22,22",16,"35,64","72,11","68,33","99,04","42,55",100,"96,15",41769
Santa Maria de Itabira (MG),"9,1","38,3","3,9",100,"61,4","878,83","44,35",181,"14,71",75,"11,76","5,27","1,06","25,98","13,54","11,67","39,24","33,48","87,4","99,98",0,100,11007
Santa Maria de Jetibá (ES),"19,5","16,6","4,8","90,33","52,6","1062,27","36,13","42,97","14,88","76,53","5,95","6,66",3,"22,1","7,7","14,1","51,73","53,18","79,39","52,05","98,58",100,39928
Santa Maria do Cambucá (PE),"24,4","20,5","3,3","61,06","40,4","1060,1","277,57","87,93","14,71","64,71","10,29","7,21","1,63","12,77","26,14","55,03","81,4","15,95",100,,,100,14013
Santa Maria do Herval (RS),"14,6","24,7","5,6",100,"50,2","1265,49","5,66","28,47","17,24","94,83","10,34","8,34","0,33","14,96","8,47","14,11","38,74","79,74","50,68",,,,6358
Santa Maria do Oeste (PR),"19,4","22,7","4,2","98,4","68,8","1222,28","90,63","93,72","13,79","87,59","3,45","6,44","2,74","33,62","10,06","19,91","59,73","25,08",100,,,"66,84",10716
Santa Maria do Pará (PA),"37,7","55,9","3,3","75,98","42,1","888,04","180,84","142,22","14,02","60,05","5,84","4,92","13,05","32,97","15,58","44,11","78,66","32,39","71,72",,,,24186
Santa Maria do Salto (MG),"12,6","51,5","3,8",100,"80,4","899,18","209,23","118,82","21,28","80,85","12,77","5,02","1,45","18,75","13,31","48,88","79,04","15,69",100,100,0,100,5381
Santa Maria do Suaçuí (MG),"8,6","23,8","4,9","90,85","63,6","863,48","104,47","382,41","15,46","41,24","8,25","7,92","11,35","62,31","12,81","34,61","76,84","19,36","80,61","55,87",0,,14896
Santa Maria do Tocantins (TO),"21,7","23,1","4,1",100,"45,5","920,52","162,71","45,87",0,"48,78","4,88","2,98","1,03","19,15","11,77","8,05","54,59","89,14",100,,,100,3356
Santa Maria Madalena (RJ),"34,1",26,"4,1","81,79","39,2","1224,01","75,73","186,05","20,2","63,64","9,09","9,93","1,6","25,37","15,11","28,14","60,87","42,28","54,14","85,53",100,100,10172
Santa Mariana (PR),"15,7","31,3","4,1",100,"73,5","1283,03","91,5","156,66",0,"94,85","9,56","10,16","8,6","29,48","8,23","21,3","56,92","9,4",100,"85,79",100,100,12307
Santa Maria (RN),"29,9","58,7","3,3","86,66","34,7","1129,18","269,33","27,77",0,"79,41","10,29","3,82","0,61","4,72","19,4","54,5","72,5","29,27","95,83",,,,5500
Santa Maria (RS),"19,2","30,7","4,6","99,83","75,6","2079,09","29,03","121,58","8,26","78,68","9,69","7,39","0,14","15,59","5,14","15,45","51,96","48,27",100,"61,25",100,,278445
Santa Mercedes (SP),"7,3","14,8","4,1",100,"75,2","1074,22","100,45","132,32",0,"75,56","2,22","7,81","2,98","24,21","9,38","24,01","46,41","2,74",100,"99,3",100,100,2945
Santa Mônica (PR),"19,8","37,2","4,2",100,"74,3","1150,68","88,69","114,44",0,"78,57","7,14","9,45","4,64","37,19","9,02","16,08","48,46","7,26","97,71",,,,3915
Santana (AP),"22,4","33,4","3,8","85,82","56,9","1160,13","157,79","391,92","17,82","41,18","8,59","4,13","2,42","19,09","10,01","39,29","87,29","83,46","46,28","1,25",0,"74,14",115471
Santana (BA),"21,8","31,5","3,5","59,9","23,2","1005,71","193,98","193,8","12,5","46,56","3,75","3,38","11,49","56,38","11,95","42,3","69,22","55,47",100,,,100,27492
Santana da Boa Vista (RS),"30,9","45,8",3,"87,7","53,8","1044,68","96,52","141,66",0,"62,5","6,25","11,29",0,"15,56","3,73","38,44","65,17","85,06","99,97","99,71",100,100,8414
Santana da Ponte Pensa (SP),"2,3","4,3","6,1",100,"70,3","1328,8","25,38",99,0,100,10,"10,93","0,81","15,83","5,37","2,31","30,78","2,41",100,100,100,100,1555
Santana da Vargem (MG),"11,6","20,3","5,3",100,"70,9","909,62","77,47","139,87",0,"86,84","7,89","5,33","0,7","17,8","6,32","31,71","43,95","10,22",100,"97,59",100,,7322
Santana de Cataguases (MG),"2,5","9,2","5,3",100,"61,5","924,09","65,9","154,22",0,"72,41","3,45","7,22","1,95","28,17","9,9","12,67","35,18","12,8","92,25",,,,3876
Santana de Mangueira (PB),"26,5","36,2",4,"68,9","23,1","440,85","206,11","45,81",0,"75,41","6,56","5,62","2,29","14,89","20,16","61,4","83,16","87,34",100,,,100,5159
Santana de Parnaíba (SP),"9,2","14,6","5,6","91,16","71,6","1900,78","37,28","104,62","8,32","85,12","8,32","4,86","0,54","14,19","8,95","24,69","54,54","39,78",100,"42,5","19,35","92,04",131887
Santana de Pirapama (MG),"10,7","28,8","4,1","90,51","52,6","960,34","89,89","236,02",0,"70,91","3,64","6,28","1,32","18,46","10,05","23,35","70,52","53,74",100,100,0,100,7965
Santana do Acaraú (CE),20,"39,4","4,5","68,05","48,7","994,31","275,23","187,35","16,87","76,87","12,77","5,37","2,25","25,69","10,06","52,98","77,02","82,32","71,86",,,,32023
Santana do Araguaia (PA),"36,2",48,"2,8","94,04","32,3","1285,89","90,39","99,58","15,82","57,82","5,62","2,16","8,37","47,42","9,41","21,67","80,7","49,3","26,24",,,,70764
Santana do Cariri (CE),"11,9","34,7","4,4",100,"41,1","943,61","317,18","243,62","10,31","72,68","8,76",6,"5,76","21,78","13,24","40,96","77,25","78,4","53,24",,,100,17489
Santana do Deserto (MG),"31,4","57,1","4,6",100,"50,6","1085,21","49,75","20,14",0,75,"8,33","7,69",0,"14,41","10,07","23,87","48,49","32,02",100,,,100,4032
Santana do Garambéu (MG),"10,3","35,9","4,6",100,"63,5","1058,88","130,61","99,73",0,"91,3","13,04","3,28","0,81","21,24","7,6","38,02","66,89","10,59","99,39","99,39",0,100,2436
Santana do Ipanema (AL),"30,7","45,8","3,7","59,34","52,8","1056,11","288,08","293,96","22,61","65,83","9,42","6,12","0,78","13,39","13,3","62,37","85,61","21,78","91,47","6,15",100,,48232
Santana do Itararé (PR),"18,8","32,1","4,1",100,"74,7","989,81","51,6","94,32","16,13","90,32","8,06","10,15","0,43","34,59","10,26","15,38","40,91","14,99",100,"52,15",100,100,5222
Santana do Jacaré (MG),"18,4","22,1","4,5",100,"57,1","925,93","98,57","157,24","15,63","56,25","15,63","8,64",0,"17,01","11,01","11,09","48,58","9,67","89,79",100,0,100,4861
Sant'Ana do Livramento (RS),23,"34,1","3,8","92,85","44,6","1278,75","55,82","347,04","15,47","66,61","7,01","9,32","1,16","27,82","5,13",24,"62,11","86,3","99,74","41,63","50,81",100,82312
Santana do Manhuaçu (MG),"12,9","20,8",,"74,02","46,4",806,"102,97","56,86","18,18","77,27","7,27","5,08","0,51","19,5","9,84","10,96","71,23","17,77","79,85",,,"99,95",8853
Santana do Maranhão (MA),"27,8","52,3","3,3","25,89","49,4","1349,45","186,38","12,09","9,35","39,25","4,67","2,54","15,87","52,14","19,07","60,24","84,57","95,87",,,,,13395
Santana do Matos (RN),"28,9","53,6","3,1","91,58",48,"1054,96","165,44","122,05","9,26","56,48","7,41","5,27","2,71","22,2","18,76","41,8","71,16","65,67",0,,,,13289
Santana do Mundaú (AL),"29,2","35,4","4,8","79,6","33,1","946,37","194,8","211,53","16,67",60,"4,44","6,61",2,"18,66","22,73","43,45","72,77","9,15",,,,,10899
Santana do Paraíso (MG),"12,5",34,"4,2","99,14","62,9","1157,71","89,75","79,15","2,97","82,17","7,28","5,15",1,"16,6","8,34","27,16","52,12","21,32",100,100,0,100,32828
Santana do Piauí (PI),"15,4","36,3","4,4",100,"42,5","1072,48","145,56","31,53","65,22","67,39","6,52","8,99","2,74","17,39","18,67","1,5","59,69","88,94","98,94",,,,4559
Santana do Riacho (MG),"13,2",32,4,97,"71,4","907,96","157,33","111,16","19,23","42,31","17,31","6,28",0,"13,41","14,94","38,45","75,81","70,75",100,,,,4301
